date,rider_id,route_id,menu_type,backup_route,total_deliveries,completed_deliveries,cancelled_deliveries,ontime_deliveries,delayed_deliveries,uncontactable_customers,total_customers,total_meal,total_meal_revenue,delay_min_per_drop,scheduled_start_time,actual_start_time,first_customer_arrived_time,scheduled_last_delivered_time,actual_last_delivered_time,avg_rider_rating,avg_service_mins
01 Apr 2019,Rider 3,5ca19c0b25bf07141068e90e,Lunch,N,5,5,0,3,2,1,5,7,786.1,20,1:25 PM,1:20 PM,1:42 PM,2:45 PM,2:46 PM,4.5,5.21
01 Apr 2019,Rider 102,5ca19c0b25bf07141068e90a,Lunch,N,7,7,0,6,1,0,7,11,1980,31,1:25 PM,1:20 PM,1:45 PM,2:45 PM,2:48 PM,4.33,3.12
01 Apr 2019,Rider 138,5ca19c0b25bf07141068e905,Lunch,N,3,3,0,3,0,0,3,5,407.5,,1:25 PM,1:20 PM,1:48 PM,2:45 PM,2:17 PM,5,3.89
01 Apr 2019,Rider 138,5ca19c0b25bf07141068e805,Lunch,N,1,1,0,0,1,0,1,3,212.4,19,1:25 PM,1:20 PM,2:32 PM,2:45 PM,2:45 PM,5,13.2
01 Apr 2019,Rider 72,5ca19c0b25bf07141068e90d,Lunch,N,6,6,0,6,0,0,6,14,3385.2,,1:25 PM,1:21 PM,1:40 PM,2:45 PM,2:44 PM,4.6,6.73
01 Apr 2019,Rider 24,5ca19c0b25bf07141068e90f,Lunch,N,5,5,0,2,3,1,5,10,1033.6,21,1:25 PM,1:22 PM,2:00 PM,2:45 PM,3:04 PM,4.8,4.39
01 Apr 2019,Rider 36,5ca19c0a25bf07141068e8fb,Lunch,N,8,8,0,8,0,0,7,10,1346,,1:26 PM,1:22 PM,1:43 PM,2:45 PM,2:30 PM,5,6.35
01 Apr 2019,Rider 15,5ca19c0b25bf07141068e908,Lunch,N,7,7,0,7,0,0,7,8,1722,,1:26 PM,1:23 PM,1:38 PM,2:45 PM,2:34 PM,5,2.65
01 Apr 2019,Rider 170,5ca19c0b25bf07141068e911,Lunch,N,7,7,0,7,0,0,7,11,2510.2,,1:26 PM,1:25 PM,1:42 PM,2:45 PM,2:38 PM,3.4,3.21
01 Apr 2019,Rider 119,5ca19c0a25bf07141068e8fd,Lunch,N,5,5,0,4,1,0,5,8,3455.2,28,1:26 PM,1:25 PM,1:39 PM,2:45 PM,2:50 PM,5,5.8
01 Apr 2019,Rider 128,5ca19c0b25bf07141068e915,Lunch,N,8,8,0,8,0,0,8,14,2935.4,,1:26 PM,1:25 PM,1:40 PM,2:45 PM,2:38 PM,5,2.27
01 Apr 2019,Rider 57,5ca19c0a25bf07141068e8f9,Lunch,N,6,6,0,5,1,0,6,13,4114.6,30,1:26 PM,1:27 PM,1:50 PM,2:45 PM,2:52 PM,4.5,2.83
01 Apr 2019,Rider 208,5ca19c0a25bf07141068e8fc,Lunch,N,5,5,0,1,4,0,5,8,2319.9,35,1:26 PM,1:28 PM,2:18 PM,2:45 PM,3:18 PM,4,11.25
01 Apr 2019,Rider 97,5ca19c0b25bf07141068e902,Lunch,N,5,5,0,4,1,0,5,9,1306.4,11,1:27 PM,1:36 PM,1:38 PM,2:45 PM,2:45 PM,5,2.84
01 Apr 2019,Rider 205,5ca19c0b25bf07141068e903,Lunch,N,9,9,0,5,4,0,9,14,1185.6,28,1:27 PM,1:38 PM,1:38 PM,2:45 PM,3:23 PM,4.25,3.71
